frame_path,true_label,true_intensity,predicted_label,predicted_intensity,correct_label,prob_angry,prob_happy,prob_neutral,prob_sad,prob_surprised
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036441730.jpg,happy,1,neutral,N/A,0,0.000454,0.001970,0.935852,0.060333,0.001391
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036441869.jpg,happy,1,neutral,N/A,0,0.000454,0.002505,0.944288,0.050787,0.001966
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442073.jpg,happy,1,neutral,N/A,0,0.000381,0.002704,0.935760,0.059872,0.001284
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442273.jpg,happy,1,neutral,N/A,0,0.000479,0.014688,0.944662,0.036938,0.003233
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442478.jpg,happy,1,neutral,N/A,0,0.000546,0.023444,0.941060,0.030971,0.003979
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442672.jpg,happy,1,neutral,N/A,0,0.001173,0.083699,0.874477,0.025405,0.015246
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442872.jpg,happy,1,neutral,N/A,0,0.000958,0.100420,0.859444,0.026740,0.012438
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443077.jpg,happy,1,neutral,N/A,0,0.000827,0.274304,0.679005,0.029895,0.015970
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443269.jpg,happy,1,neutral,N/A,0,0.000999,0.120605,0.831501,0.032366,0.014530
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443477.jpg,happy,1,neutral,N/A,0,0.000761,0.109881,0.852505,0.025997,0.010855
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443675.jpg,happy,1,neutral,N/A,0,0.000758,0.122848,0.824611,0.041179,0.010604
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443871.jpg,happy,1,neutral,N/A,0,0.001316,0.219635,0.723078,0.032842,0.023129
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444075.jpg,happy,1,neutral,N/A,0,0.001122,0.205024,0.740155,0.032654,0.021045
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444274.jpg,happy,1,neutral,N/A,0,0.000851,0.057255,0.891980,0.037811,0.012103
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444479.jpg,happy,1,neutral,N/A,0,0.000715,0.121830,0.824715,0.041999,0.010742
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444670.jpg,happy,1,neutral,N/A,0,0.000498,0.042144,0.921220,0.030080,0.006057
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444873.jpg,happy,1,neutral,N/A,0,0.000867,0.099575,0.858107,0.029132,0.012319
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445075.jpg,happy,1,neutral,N/A,0,0.000414,0.024741,0.926099,0.043061,0.005684
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445270.jpg,happy,1,neutral,N/A,0,0.000674,0.029893,0.929751,0.033123,0.006559
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445477.jpg,happy,1,neutral,N/A,0,0.000946,0.182313,0.772697,0.029362,0.014683
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445673.jpg,happy,1,neutral,N/A,0,0.000862,0.110085,0.841488,0.035324,0.012241
