frame_path,true_label,true_intensity,predicted_label,predicted_intensity,correct_label,prob_angry,prob_happy,prob_neutral,prob_sad,prob_surprised
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036441730.jpg,happy,1,happy,1.000,1,0.000106,0.999198,0.000489,0.000102,0.000105
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036441869.jpg,happy,1,happy,1.000,1,0.000087,0.999296,0.000441,0.000085,0.000091
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442073.jpg,happy,1,happy,1.000,1,0.000079,0.999521,0.000243,0.000080,0.000077
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442273.jpg,happy,1,happy,1.000,1,0.000064,0.999616,0.000203,0.000055,0.000061
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442478.jpg,happy,1,happy,2.083,1,0.000080,0.999698,0.000134,0.000045,0.000044
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442672.jpg,happy,1,happy,2.588,1,0.000061,0.999734,0.000108,0.000060,0.000037
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442872.jpg,happy,1,happy,2.390,1,0.000076,0.999717,0.000108,0.000056,0.000044
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443077.jpg,happy,1,happy,2.745,1,0.000089,0.999741,0.000088,0.000038,0.000044
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443269.jpg,happy,1,happy,2.920,1,0.000060,0.999755,0.000086,0.000060,0.000038
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443477.jpg,happy,1,happy,2.641,1,0.000059,0.999737,0.000106,0.000060,0.000038
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443675.jpg,happy,1,happy,2.872,1,0.000078,0.999749,0.000078,0.000050,0.000045
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443871.jpg,happy,1,happy,1.203,1,0.000092,0.999623,0.000135,0.000087,0.000063
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444075.jpg,happy,1,happy,2.209,1,0.000075,0.999700,0.000104,0.000067,0.000054
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444274.jpg,happy,1,happy,1.000,1,0.000210,0.993646,0.005161,0.000746,0.000237
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444479.jpg,happy,1,happy,3.343,1,0.000051,0.999786,0.000070,0.000041,0.000051
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444670.jpg,happy,1,happy,1.000,1,0.000054,0.999496,0.000317,0.000071,0.000062
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444873.jpg,happy,1,happy,2.540,1,0.000062,0.999726,0.000098,0.000062,0.000052
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445075.jpg,happy,1,happy,1.000,1,0.000436,0.969326,0.027798,0.001863,0.000577
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445270.jpg,happy,1,happy,1.000,1,0.000055,0.999529,0.000268,0.000078,0.000069
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445477.jpg,happy,1,happy,2.368,1,0.000055,0.999712,0.000099,0.000082,0.000052
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445673.jpg,happy,1,happy,1.004,1,0.000087,0.999614,0.000161,0.000083,0.000055
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036445874.jpg,happy,1,happy,1.308,1,0.000085,0.999635,0.000144,0.000080,0.000055
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036446073.jpg,happy,1,happy,1.000,1,0.000085,0.999603,0.000153,0.000092,0.000067
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036446275.jpg,happy,1,happy,1.000,1,0.000079,0.999594,0.000166,0.000094,0.000068
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036446473.jpg,happy,1,happy,1.000,1,0.000089,0.999610,0.000149,0.000090,0.000062
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036446675.jpg,happy,1,happy,1.000,1,0.000107,0.999511,0.000198,0.000109,0.000075
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036446874.jpg,happy,1,happy,1.000,1,0.000100,0.999535,0.000195,0.000092,0.000077
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036447071.jpg,happy,1,happy,1.000,1,0.000082,0.999566,0.000210,0.000089,0.000053
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036447276.jpg,happy,1,happy,1.000,1,0.000088,0.999365,0.000317,0.000161,0.000070
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036447464.jpg,happy,1,happy,1.000,1,0.000095,0.999416,0.000275,0.000132,0.000082
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036447663.jpg,happy,1,happy,1.000,1,0.000063,0.999550,0.000246,0.000075,0.000065
data/personalization/salenatang/frames/20260517_124640/salenatang_happy_2_001_1779036450596.jpg,happy,2,happy,3.482,1,0.000048,0.999798,0.000070,0.000045,0.000039
