user_id,session_id,frame_path,timestamp_ms,emotion_label,intensity_label,prompt_id,prompt_text,split,face_detected
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036441730.jpg,1779036441730,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036441869.jpg,1779036441869,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442073.jpg,1779036442073,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442273.jpg,1779036442273,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442478.jpg,1779036442478,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442672.jpg,1779036442672,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036442872.jpg,1779036442872,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443077.jpg,1779036443077,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443269.jpg,1779036443269,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443477.jpg,1779036443477,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443675.jpg,1779036443675,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036443871.jpg,1779036443871,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,val,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444075.jpg,1779036444075,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
salenatang,20260517_124640,data/personalization/salenatang/frames/20260517_124640/salenatang_happy_1_000_1779036444274.jpg,1779036444274,happy,1,happy_1_000,Show a very slight smile and mild pleasantness.,train,1
